Level,MinRequiredHits,MaxRequiredHits,ScrollSpeed,HammerBarWidth,StartTargetPercentage,EndTargetPercentage,RandomizeTargetRangePos
1, 4, 4, 18, 1150, 0.415, 0.585, false
2, 4, 5, 20, 1150, 0.415, 0.585, false
3, 4, 5, 22, 1150, 0.415, 0.585, false
4, 4, 5, 23, 1100, 0.415, 0.585, true
5, 4, 6, 23, 1100, 0.425, 0.575, true
6, 4, 6, 24, 1050, 0.425, 0.575, true
7, 4, 6, 26, 1050, 0.425, 0.575, true
8, 4, 7, 25, 1000, 0.435, 0.565, true
9, 4, 7, 26, 1000, 0.435, 0.565, true
10, 5, 7, 27, 950, 0.435, 0.565, true
11, 5, 8, 26, 950, 0.44, 0.56, true
12, 5, 8, 27, 900, 0.44, 0.56, true
13, 5, 8, 28, 900, 0.44, 0.56, true
14, 5, 8, 28, 800, 0.44, 0.56, true
15, 5, 8, 30, 800, 0.445, 0.555, true
